Customerid,Gender,Age,SeniorCitizen,Married,NumberOfDependents,Country,State,City,Latitude,Longitude,NumberOfReferrals,TenureInMonths,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGbDownload,Contract,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,ChurnLabel,ChurnScore,Cltv,ChurnCategory
8779-QRDMV,Male,78,Yes,No,0,United States,California,Los Angeles,34.02381,-118.156582,0,1,0,No,Yes,DSL,8,Month-to-Month,Bank Withdrawal,39.65,39.65,0,20,0,59.65,3,Yes,91,5433,Competitor
7495-OOKFY,Female,74,Yes,Yes,1,United States,California,Los Angeles,34.044271,-118.185237,1,8,48.85,Yes,Yes,Fiber Optic,17,Month-to-Month,Credit Card,80.65,633.3,0,0,390.8,1024.1,3,Yes,69,5302,Competitor
1658-BYGOY,Male,71,Yes,No,3,United States,California,Los Angeles,34.108833,-118.229715,0,18,11.33,Yes,Yes,Fiber Optic,52,Month-to-Month,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,Yes,81,3179,Competitor
4598-XLKNJ,Female,78,Yes,Yes,1,United States,California,Inglewood,33.936291,-118.332639,1,25,19.76,No,Yes,Fiber Optic,12,Month-to-Month,Bank Withdrawal,98.5,2514.5,13.43,0,494,2995.07,2,Yes,88,5337,Dissatisfaction
4846-WHAFZ,Female,80,Yes,Yes,1,United States,California,Whittier,33.972119,-118.020188,1,37,6.33,Yes,Yes,Fiber Optic,14,Month-to-Month,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,2,Yes,67,2793,Price
4412-YLTKF,Female,72,Yes,No,1,United States,California,Pico Rivera,33.989524,-118.089299,0,27,3.33,Yes,Yes,Fiber Optic,18,Month-to-Month,Bank Withdrawal,78.05,2135.5,0,10,89.91,2235.41,1,Yes,95,4638,Competitor
0390-DCFDQ,Female,76,Yes,Yes,2,United States,California,Los Alamitos,33.79499,-118.065591,1,1,15.28,No,Yes,Fiber Optic,30,Month-to-Month,Mailed Check,70.45,70.45,0,0,15.28,85.73,2,Yes,76,3964,Other
3445-HXXGF,Male,66,Yes,Yes,0,United States,California,Sierra Madre,34.168686,-118.057505,6,58,0,No,Yes,DSL,24,Month-to-Month,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,1,Yes,91,5444,Dissatisfaction
2656-FMOKZ,Female,70,Yes,No,2,United States,California,Pasadena,34.139402,-118.128658,0,15,44.07,Yes,Yes,Fiber Optic,19,Month-to-Month,Mailed Check,74.45,1145.7,0,0,661.05,1806.75,2,Yes,91,5717,Dissatisfaction
2070-FNEXE,Female,77,Yes,No,2,United States,California,Pasadena,34.159007,-118.087353,0,7,26.95,No,Yes,Fiber Optic,18,Month-to-Month,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,Yes,81,4419,Price
0094-OIFMO,Female,78,Yes,No,1,United States,California,North Hollywood,34.207295,-118.400022,0,11,11.59,No,Yes,Fiber Optic,29,Month-to-Month,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,1,Yes,85,5980,Dissatisfaction
9947-OTFQU,Male,65,Yes,No,0,United States,California,Covina,34.097345,-117.906736,0,15,29.11,No,Yes,Fiber Optic,29,Month-to-Month,Bank Withdrawal,74.4,1074.3,0,0,436.65,1510.95,1,Yes,86,4616,Competitor
9514-JDSKI,Male,77,Yes,Yes,0,United States,California,El Monte,34.074492,-118.01462,1,1,0,No,Yes,DSL,12,Month-to-Month,Bank Withdrawal,40.2,40.2,0,0,0,40.2,2,Yes,65,5828,Dissatisfaction
7273-TEFQD,Male,67,Yes,No,0,United States,California,La Puente,34.038983,-117.991372,0,3,0,No,Yes,DSL,28,Month-to-Month,Bank Withdrawal,41.15,132.2,0,0,0,132.2,2,Yes,96,2314,Price
3606-TWKGI,Male,68,Yes,No,0,United States,California,Rowland Heights,33.976753,-117.897367,0,13,32.68,Yes,Yes,Cable,11,Month-to-Month,Bank Withdrawal,106.9,1364.3,0,10,424.84,1799.14,1,Yes,84,2494,Competitor
4385-GZQXV,Female,68,Yes,No,0,United States,California,Ontario,34.074087,-117.605618,0,16,9.43,No,Yes,Fiber Optic,9,Month-to-Month,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,1,Yes,81,3810,Competitor
